player,tournament,date,season,n_rounds,sg_putt,sg_total
Abraham Ancer,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.2,0.85
Adam Hadwin,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.36,1.6
Anirban Lahiri,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.56,-0.54
Adam Long,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.46,-2.54
Alexander Noren,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.53,-1.04
Andrew Putnam,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.97,-2.54
Aaron Rai,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,2.05,1.35
Adam Schenk,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.96,1.35
Adam Scott,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.82,-1.65
Alex Smalley,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.89,-2.54
Adam Svensson,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.28,0.35
Aaron Wise,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.16,3.35
Brandon Hagy,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.94,-4.54
Brian Harman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.12,1.6
Bo Hoag,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.93,-2.54
Billy Horschel,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.95,4.35
Beau Hossler,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.94,0.85
Brandt Snedeker,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.12,-0.65
Brendan Steele,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.2,2.1
Brandon Wu,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-2.44,-1.9
Cameron Champ,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.27,-1.54
Corey Conners,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.24,1.85
Cameron Davis,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.19,-0.4
Charley Hoffman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.2,-0.54
Charles Howell III,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.52,1.6
Chan Kim,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-1.4,-1.65
Chris Kirk,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.02,-0.4
Curtis Luck,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-3.48,-2.54
Collin Morikawa,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.41,-1.04
Carlos Ortiz,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.88,-0.9
C.T. Pan,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.36,-0.4
Cameron Smith,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.75,1.76
Cameron Tringale,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.18,0.1
Camilo Villegas,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.71,-0.4
Cameron Young,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.68,-0.65
Daniel Berger,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.65,2.6
