season,date,tournament,rank,player,putts_per_round,total_putts,total_rounds
2015,2015-01-12,Hyundai Tournament of Champions,1,Matt Every,28.25,113,4
2015,2015-01-12,Hyundai Tournament of Champions,1,Zach Johnson,28.25,113,4
2015,2015-01-12,Hyundai Tournament of Champions,1,Matt Kuchar,28.25,113,4
2015,2015-01-12,Hyundai Tournament of Champions,4,Patrick Reed,28.5,114,4
2015,2015-01-12,Hyundai Tournament of Champions,5,Chris Kirk,28.75,115,4
2015,2015-01-12,Hyundai Tournament of Champions,5,Hideki Matsuyama,28.75,115,4
2015,2015-01-12,Hyundai Tournament of Champions,7,Bubba Watson,29.0,116,4
2015,2015-01-12,Hyundai Tournament of Champions,8,Ben Crane,29.25,117,4
2015,2015-01-12,Hyundai Tournament of Champions,8,Brendon Todd,29.25,117,4
2015,2015-01-12,Hyundai Tournament of Champions,10,Tim Clark,29.5,118,4
2015,2015-01-12,Hyundai Tournament of Champions,10,Jason Day,29.5,118,4
2015,2015-01-12,Hyundai Tournament of Champions,10,Brian Harman,29.5,118,4
2015,2015-01-12,Hyundai Tournament of Champions,13,Ben Martin,29.75,119,4
2015,2015-01-12,Hyundai Tournament of Champions,13,Ryan Moore,29.75,119,4
2015,2015-01-12,Hyundai Tournament of Champions,13,S.Y. Noh,29.75,119,4
2015,2015-01-12,Hyundai Tournament of Champions,13,Nick Taylor,29.75,119,4
2015,2015-01-12,Hyundai Tournament of Champions,13,Jimmy Walker,29.75,119,4
2015,2015-01-12,Hyundai Tournament of Champions,18,Matt Jones,30.0,120,4
2015,2015-01-12,Hyundai Tournament of Champions,18,John Senden,30.0,120,4
2015,2015-01-12,Hyundai Tournament of Champions,20,Steven Bowditch,30.25,121,4
2015,2015-01-12,Hyundai Tournament of Champions,20,Russell Henley,30.25,121,4
2015,2015-01-12,Hyundai Tournament of Champions,20,Robert Streb,30.25,121,4
2015,2015-01-12,Hyundai Tournament of Champions,23,Sangmoon Bae,30.5,122,4
2015,2015-01-12,Hyundai Tournament of Champions,24,Geoff Ogilvy,30.75,123,4
2015,2015-01-12,Hyundai Tournament of Champions,24,Kevin Streelman,30.75,123,4
2015,2015-01-12,Hyundai Tournament of Champions,24,Camilo Villegas,30.75,123,4
2015,2015-01-12,Hyundai Tournament of Champions,27,Ángel Cabrera,31.0,124,4
2015,2015-01-12,Hyundai Tournament of Champions,27,Chesson Hadley,31.0,124,4
2015,2015-01-12,Hyundai Tournament of Champions,27,Scott Stallings,31.0,124,4
2015,2015-01-12,Hyundai Tournament of Champions,30,Charley Hoffman,31.25,125,4
2015,2015-01-12,Hyundai Tournament of Champions,30,J.B. Holmes,31.25,125,4
2015,2015-01-12,Hyundai Tournament of Champions,32,Hunter Mahan,31.75,127,4
2015,2015-01-12,Hyundai Tournament of Champions,33,Billy Horschel,32.0,128,4
2015,2015-01-18,Sony Open in Hawaii,1,Brian Davis,26.0,104,4
2015,2015-01-18,Sony Open in Hawaii,2,Brian Harman,26.75,107,4
2015,2015-01-18,Sony Open in Hawaii,2,Max Homa,26.75,107,4
2015,2015-01-18,Sony Open in Hawaii,2,Troy Merritt,26.75,107,4
2015,2015-01-18,Sony Open in Hawaii,2,Rory Sabbatini,26.75,107,4
2015,2015-01-18,Sony Open in Hawaii,6,Chad Collins,27.0,108,4
2015,2015-01-18,Sony Open in Hawaii,6,Jerry Kelly,27.0,108,4
2015,2015-01-18,Sony Open in Hawaii,6,Matt Kuchar,27.0,108,4
2015,2015-01-18,Sony Open in Hawaii,6,Kevin Na,27.0,108,4
2015,2015-01-18,Sony Open in Hawaii,10,Russell Henley,27.25,109,4
2015,2015-01-18,Sony Open in Hawaii,10,Robert Streb,27.25,109,4
2015,2015-01-18,Sony Open in Hawaii,10,Justin Thomas,27.25,109,4
2015,2015-01-18,Sony Open in Hawaii,13,Jason Day,27.5,110,4
2015,2015-01-18,Sony Open in Hawaii,13,David Hearn,27.5,110,4
2015,2015-01-18,Sony Open in Hawaii,13,Jason Kokrak,27.5,110,4
2015,2015-01-18,Sony Open in Hawaii,13,Marc Leishman,27.5,110,4
2015,2015-01-18,Sony Open in Hawaii,13,Pat Perez,27.5,110,4
2015,2015-01-18,Sony Open in Hawaii,13,Scott Piercy,27.5,110,4
